COUNTY,EMPLOYMENT,INCOME,LABOR_PARTICIPATION,WEIGHT,SEX,AGE
44000,0,26600,0,1607.84,1,24
44000,-1,9999999,-1,1360.48,1,6
44000,-1,9999999,-1,865.76,1,1
44000,1,7100,1,3215.68,0,38
44000,1,36000,1,2844.64,0,30
44000,0,0,1,1484.16,0,19
44000,1,29500,1,1978.88,1,40
44000,1,5900,1,3957.76,1,18
44000,0,6000,0,6555.04,1,62
44000,0,29900,0,2844.64,1,73
44000,0,38300,0,4328.8,0,79
44000,1,25190,1,2968.32,1,39
44000,-1,9999999,-1,5441.92,0,10
44000,-1,9999999,-1,5565.6,0,2
44000,1,15000,1,5441.92,0,22
44000,0,6900,0,3215.68,1,48
44000,1,43000,1,3834.08,1,34
44000,1,46000,1,3586.72,0,35
44000,-1,9999999,-1,4576.16,0,10
44000,0,10200,0,3215.68,0,49
44000,1,45000,1,1607.84,1,55
44000,1,15400,1,3215.68,1,41
44000,1,11000,1,4576.16,0,24
44000,0,49900,0,2968.32,1,68
44000,1,16500,1,6184.0,0,30
44000,0,10000,1,3463.04,0,30
44000,1,13500,1,2226.24,0,32
44000,1,16900,1,2597.28,1,40
44000,-1,9999999,-1,1978.88,0,4
44000,0,29200,0,1978.88,1,87
44000,1,42000,1,2597.28,1,36
44000,-1,9999999,-1,2597.28,0,13
44000,-1,9999999,-1,2597.28,1,11
44000,1,8000,1,1607.84,1,24
44000,0,3000,1,989.44,1,29
44000,0,3100,0,2968.32,0,45
44000,0,3100,0,3215.68,1,58
44000,0,8600,0,1855.2,1,81
44000,1,261000,1,2226.24,1,39
44000,1,203000,1,4576.16,0,39
44000,-1,9999999,-1,3586.72,0,8
44000,-1,9999999,-1,2597.28,1,3
44000,-1,9999999,-1,2226.24,0,1
44000,1,8000,1,3092.0,1,20
44000,0,16100,0,3586.72,0,69
44000,0,51200,0,3586.72,1,48
44000,-1,9999999,-1,2597.28,0,10
44000,0,4000,0,1978.88,0,19
44000,1,44000,1,2349.92,0,56
44000,1,26000,1,2844.64,1,57
44000,0,23500,1,4576.16,0,28
44000,1,23100,1,1978.88,1,24
44000,1,49500,1,1731.52,0,48
44000,0,19700,0,1855.2,1,44
44000,1,14000,1,2349.92,0,22
44000,0,37000,0,2844.64,0,45
44000,1,18000,1,4947.2,1,44
44000,-1,0,-1,4452.48,1,15
44000,-1,9999999,-1,3339.36,0,14
44000,0,0,0,3586.72,1,34
44000,1,18600,1,5194.56,0,33
44000,-1,6900,-1,3834.08,0,15
44000,-1,9999999,-1,4576.16,0,3
44000,1,34000,1,4576.16,0,32
44000,1,8000,1,2844.64,1,37
44000,-1,9999999,-1,2349.92,1,4
44000,1,84400,1,1855.2,0,35
44000,0,0,0,1607.84,1,34
44000,-1,9999999,-1,2349.92,1,7
44000,-1,9999999,-1,1978.88,1,5
44000,-1,9999999,-1,1855.2,1,2
44000,0,35200,0,1978.88,0,68
44000,0,0,0,1978.88,1,60
44000,0,7700,0,2597.28,1,78
44000,1,50000,1,2597.28,0,51
44000,1,23800,1,2844.64,1,46
44000,1,0,1,4205.12,1,17
44000,-1,0,-1,3957.76,1,15
44000,0,11600,0,2597.28,1,66
44000,1,38300,1,2349.92,1,23
44000,1,22000,1,4205.12,0,24
44000,1,19140,1,1236.8,1,52
44000,1,15000,1,2597.28,0,21
44000,1,17000,1,2349.92,0,20
44000,1,26500,1,2597.28,0,29
44000,-1,9999999,-1,2597.28,1,1
44000,0,3500,0,2226.24,1,29
44000,1,70000,1,3215.68,0,40
44000,1,25020,1,2968.32,0,68
44000,1,36000,1,3215.68,1,60
44000,0,12600,0,1113.12,1,93
44000,1,19000,1,2226.24,0,58
44000,0,9600,0,1978.88,1,62
